Category,Message
ham,Lunch at canteen at 8?
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://secure-verify.net"
ham,Call me when you're free.
ham,"I'm on the way, will reach in 10 minutes."
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://bit.ly/win-now"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
spam,"Congratulations! You have won 50,000 rupees. Click here: http://gift-claim-center.net"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://click-free-prize.com"
ham,Can you share today's attendance code?
spam,"Claim your cashback of 10,000 rupees. Link: http://click-free-prize.com"
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,Lunch at canteen at 4?
ham,Call me when you're free.
ham,Can you share today's attendance code?
ham,Where are you now?
ham,I'll call you in 12 minutes.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,I sent you the notes. Check WhatsApp.
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,Don't forget our class at 2 tomorrow.
ham,I sent you the notes. Check WhatsApp.
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,Lunch at canteen at 9?
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://secure-verify.net"
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,Call me when you're free.
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
ham,Where are you now?
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,Happy birthday! Have a great day 🎉
ham,Did you submit the assignment?
ham,"I'm on the way, will reach in 6 minutes."
ham,Meeting is at 8 in room B12.
spam,"Congratulations! You have won 10,000 rupees. Click here: http://offer-today.xyz"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
ham,Can you share today's attendance code?
ham,"Bro, what time is the lab tomorrow?"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://bit.ly/win-now"
ham,Can you share today's attendance code?
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Where are you now?
ham,"I'm on the way, will reach in 5 minutes."
